run_id,run_name,env_type,seed,episode_length,final_reward,reward_per_step
mbzsf796,Dodgeball_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-43-47,Dodgeball,5,3.0,0.0,0.0
6q9fv0xv,Dodgeball_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-43-55,Dodgeball,6,7.0,0.0,0.0
j53ri3dw,Dodgeball_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-44-03,Dodgeball,7,886.0,0.0,0.0
j3c3u135,Dodgeball_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-44-14,Dodgeball,8,89.0,0.0,0.0
xyj0olgj,Dodgeball_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-44-23,Dodgeball,9,3.0,0.0,0.0
p0zd5j7r,FruitBot_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-44-30,FruitBot,0,87.0,0.0,0.0
03m4dcp2,FruitBot_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-44-38,FruitBot,1,80.0,2.0,0.025
whvgwzh4,FruitBot_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-44-46,FruitBot,2,44.0,1.0,0.022727272727272728
10f3ke50,FruitBot_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-44-53,FruitBot,3,94.0,5.0,0.05319148936170213
kqir4mu8,FruitBot_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-45-01,FruitBot,4,94.0,4.0,0.0425531914893617
2x6gc23r,FruitBot_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-45-09,FruitBot,5,58.0,-2.0,-0.034482758620689655
sx99o2ht,FruitBot_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-45-17,FruitBot,6,159.0,-7.0,-0.0440251572327044
