mode,planning_steps,threshold,inner_steps,reward_mean,reward_std,ep_length_mean,ep_length_std,num_planning_steps_mean,num_planning_steps_std,meta_depth_1_mean,meta_depth_2_mean,meta_depth_3_mean,meta_depth_4_mean,meta_depth_1_std,meta_depth_2_std,meta_depth_3_std,meta_depth_4_std
value,10,1.5,1,90.0,3.7416573867739413,1475.6666666666667,48.03008316554208,52.0,6.97614984548545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,10,1.5,2,90.66666666666667,3.681787005729087,1475.0,51.11425111127685,52.0,6.97614984548545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,10,1.5,5,90.0,3.7416573867739413,1477.0,51.048996072400875,52.0,6.97614984548545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,10,1.0,0,86.33333333333333,4.496912521077347,1578.3333333333333,135.72603123776793,215.0,19.86621923433512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,10,1.0,1,80.66666666666667,6.649979114420002,1719.3333333333333,67.44050876307371,220.33333333333334,8.576453553512405,4.333333333333333,0.0,0.0,0.0,1.699673171197595,0.0,0.0,0.0
value,10,1.0,2,81.0,7.118052168020874,1719.0,66.3525935187666,220.33333333333334,8.576453553512405,3.6666666666666665,0.3333333333333333,0.0,0.0,1.8856180831641267,0.4714045207910317,0.0,0.0
value,10,1.0,5,80.66666666666667,6.649979114420002,1719.3333333333333,67.44050876307371,220.33333333333334,8.576453553512405,3.6666666666666665,0.3333333333333333,0.0,0.0,1.247219128924647,0.4714045207910317,0.0,0.0
value,15,2.0,0,88.33333333333333,1.699673171197595,1505.0,57.17225434305234,7.0,1.632993161855452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,15,2.0,1,89.33333333333333,5.436502143433363,1492.0,73.02510983673127,7.666666666666667,4.4969125210773475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,15,2.0,2,89.33333333333333,5.734883511361751,1491.6666666666667,74.47743879114593,7.666666666666667,4.4969125210773475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,15,2.0,5,89.66666666666667,5.312459150169742,1492.0,74.4222189044822,7.666666666666667,4.4969125210773475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,15,1.5,0,88.0,5.656854249492381,1468.3333333333333,42.49182927993987,50.333333333333336,7.408703590297623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,15,1.5,1,90.33333333333333,4.496912521077347,1420.0,97.25224933131366,50.666666666666664,3.7712361663282534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,15,1.5,2,90.66666666666667,4.9216076867444665,1421.3333333333333,95.45097636425145,50.666666666666664,3.7712361663282534,0.3333333333333333,0.0,0.0,0.0,0.4714045207910317,0.0,0.0,0.0
value,15,1.5,5,90.33333333333333,4.496912521077347,1416.0,94.36454136309182,50.666666666666664,3.7712361663282534,0.3333333333333333,0.0,0.0,0.0,0.4714045207910317,0.0,0.0,0.0
value,15,1.0,0,82.33333333333333,2.8674417556808756,1689.0,105.28374360112137,243.33333333333334,34.58644564308715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,15,1.0,1,88.0,2.449489742783178,1624.0,87.86732422616878,209.0,8.524474568362947,7.0,0.6666666666666666,0.0,0.0,0.816496580927726,0.4714045207910317,0.0,0.0
value,15,1.0,2,88.0,2.449489742783178,1623.3333333333333,88.14508242412367,209.0,8.524474568362947,6.333333333333333,0.3333333333333333,0.0,0.0,0.4714045207910317,0.4714045207910317,0.0,0.0
value,15,1.0,5,88.0,2.449489742783178,1622.3333333333333,85.57387971156204,209.0,8.524474568362947,7.333333333333333,0.6666666666666666,0.0,0.0,1.8856180831641267,0.4714045207910317,0.0,0.0
value,20,2.0,0,90.0,3.7416573867739413,1383.3333333333333,115.93772274611726,3.6666666666666665,1.699673171197595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,20,2.0,1,90.0,3.559026084010437,1439.3333333333333,33.10924677823738,4.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,20,2.0,2,90.0,3.559026084010437,1442.3333333333333,33.9247533357118,4.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
